algorithm,implementation,size,run,time_in_ms
mergesort,js,small,1,0.200000
mergesort,js,small,2,0.200000
mergesort,js,small,3,0.200000
mergesort,js,small,4,0.300000
mergesort,js,small,5,0.100000
mergesort,js,small,6,0.200000
mergesort,js,small,7,0.200000
mergesort,js,small,8,0.200000
mergesort,js,small,9,0.200000
mergesort,js,small,10,0.200000
mergesort,js,small,11,0.200000
mergesort,js,small,12,0.100000
mergesort,js,small,13,0.100000
mergesort,js,small,14,0.300000
mergesort,js,small,15,0.100000
mergesort,js,small,16,0.100000
mergesort,js,small,17,0.200000
mergesort,js,small,18,0.200000
mergesort,js,small,19,0.100000
mergesort,js,small,20,0.200000
mergesort,js,small,21,0.100000
mergesort,js,small,22,0.200000
mergesort,js,small,23,0.300000
mergesort,js,small,24,0.100000
mergesort,js,small,25,0.300000
mergesort,js,small,26,0.200000
mergesort,js,small,27,0.200000
mergesort,js,small,28,0.100000
mergesort,js,small,29,0.100000
mergesort,js,small,30,0.200000
mergesort,wasm,small,1,0.100000
mergesort,wasm,small,2,0.100000
mergesort,wasm,small,3,0.200000
mergesort,wasm,small,4,0.100000
mergesort,wasm,small,5,0.200000
mergesort,wasm,small,6,0.000000
mergesort,wasm,small,7,0.200000
mergesort,wasm,small,8,0.200000
mergesort,wasm,small,9,0.000000
mergesort,wasm,small,10,0.200000
mergesort,wasm,small,11,0.100000
mergesort,wasm,small,12,0.200000
mergesort,wasm,small,13,0.000000
mergesort,wasm,small,14,0.200000
mergesort,wasm,small,15,0.200000
mergesort,wasm,small,16,0.100000
mergesort,wasm,small,17,0.100000
mergesort,wasm,small,18,0.100000
mergesort,wasm,small,19,0.200000
mergesort,wasm,small,20,0.100000
mergesort,wasm,small,21,0.100000
mergesort,wasm,small,22,0.200000
mergesort,wasm,small,23,0.100000
mergesort,wasm,small,24,0.100000
mergesort,wasm,small,25,0.100000
mergesort,wasm,small,26,0.200000
mergesort,wasm,small,27,0.100000
mergesort,wasm,small,28,0.100000
mergesort,wasm,small,29,0.200000
mergesort,wasm,small,30,0.100000
quicksort,js,small,1,0.000000
quicksort,js,small,2,0.000000
quicksort,js,small,3,0.000000
quicksort,js,small,4,0.100000
quicksort,js,small,5,0.100000
quicksort,js,small,6,0.100000
quicksort,js,small,7,0.000000
quicksort,js,small,8,0.000000
quicksort,js,small,9,0.100000
quicksort,js,small,10,0.000000
quicksort,js,small,11,0.100000
quicksort,js,small,12,0.100000
quicksort,js,small,13,0.000000
quicksort,js,small,14,0.000000
quicksort,js,small,15,0.100000
quicksort,js,small,16,0.100000
quicksort,js,small,17,0.100000
quicksort,js,small,18,0.000000
quicksort,js,small,19,0.000000
quicksort,js,small,20,0.000000
quicksort,js,small,21,0.100000
quicksort,js,small,22,0.000000
quicksort,js,small,23,0.100000
quicksort,js,small,24,0.100000
quicksort,js,small,25,0.000000
quicksort,js,small,26,0.100000
quicksort,js,small,27,0.000000
quicksort,js,small,28,0.000000
quicksort,js,small,29,0.000000
quicksort,js,small,30,0.100000
quicksort,wasm,small,1,0.100000
quicksort,wasm,small,2,0.000000
quicksort,wasm,small,3,0.100000
quicksort,wasm,small,4,0.000000
quicksort,wasm,small,5,0.000000
quicksort,wasm,small,6,0.000000
quicksort,wasm,small,7,0.100000
quicksort,wasm,small,8,0.000000
quicksort,wasm,small,9,0.000000
quicksort,wasm,small,10,0.000000
quicksort,wasm,small,11,0.000000
quicksort,wasm,small,12,0.000000
quicksort,wasm,small,13,0.000000
quicksort,wasm,small,14,0.100000
quicksort,wasm,small,15,0.000000
quicksort,wasm,small,16,0.000000
quicksort,wasm,small,17,0.000000
quicksort,wasm,small,18,0.100000
quicksort,wasm,small,19,0.000000
quicksort,wasm,small,20,0.000000
quicksort,wasm,small,21,0.000000
quicksort,wasm,small,22,0.100000
quicksort,wasm,small,23,0.000000
quicksort,wasm,small,24,0.000000
quicksort,wasm,small,25,0.000000
quicksort,wasm,small,26,0.000000
quicksort,wasm,small,27,0.000000
quicksort,wasm,small,28,0.100000
quicksort,wasm,small,29,0.000000
quicksort,wasm,small,30,0.000000
mergesort,js,medium,1,23.100000
mergesort,js,medium,2,22.400000
mergesort,js,medium,3,20.500000
mergesort,js,medium,4,20.500000
mergesort,js,medium,5,21.600000
mergesort,js,medium,6,21.400000
mergesort,js,medium,7,29.100000
mergesort,js,medium,8,23.000000
mergesort,js,medium,9,22.900000
mergesort,js,medium,10,22.300000
mergesort,js,medium,11,22.500000
mergesort,js,medium,12,28.200000
mergesort,js,medium,13,32.000000
mergesort,js,medium,14,21.400000
mergesort,js,medium,15,21.700000
mergesort,js,medium,16,22.500000
mergesort,js,medium,17,22.800000
mergesort,js,medium,18,22.600000
mergesort,js,medium,19,22.600000
mergesort,js,medium,20,22.600000
mergesort,js,medium,21,31.100000
mergesort,js,medium,22,25.600000
mergesort,js,medium,23,21.100000
mergesort,js,medium,24,21.800000
mergesort,js,medium,25,20.900000
mergesort,js,medium,26,20.900000
mergesort,js,medium,27,20.600000
mergesort,js,medium,28,20.800000
mergesort,js,medium,29,34.900000
mergesort,js,medium,30,29.500000
mergesort,wasm,medium,1,14.600000
mergesort,wasm,medium,2,14.700000
mergesort,wasm,medium,3,14.900000
mergesort,wasm,medium,4,15.100000
mergesort,wasm,medium,5,15.200000
mergesort,wasm,medium,6,15.300000
mergesort,wasm,medium,7,15.300000
mergesort,wasm,medium,8,15.100000
mergesort,wasm,medium,9,15.100000
mergesort,wasm,medium,10,15.300000
mergesort,wasm,medium,11,14.900000
mergesort,wasm,medium,12,14.900000
mergesort,wasm,medium,13,15.100000
mergesort,wasm,medium,14,14.800000
mergesort,wasm,medium,15,15.000000
mergesort,wasm,medium,16,15.200000
mergesort,wasm,medium,17,15.200000
mergesort,wasm,medium,18,15.200000
mergesort,wasm,medium,19,15.100000
mergesort,wasm,medium,20,15.000000
mergesort,wasm,medium,21,15.200000
mergesort,wasm,medium,22,15.300000
mergesort,wasm,medium,23,15.100000
mergesort,wasm,medium,24,15.100000
mergesort,wasm,medium,25,15.200000
mergesort,wasm,medium,26,14.900000
mergesort,wasm,medium,27,15.200000
mergesort,wasm,medium,28,15.000000
mergesort,wasm,medium,29,15.200000
mergesort,wasm,medium,30,15.200000
quicksort,js,medium,1,7.100000
quicksort,js,medium,2,7.100000
quicksort,js,medium,3,7.100000
quicksort,js,medium,4,7.200000
quicksort,js,medium,5,7.100000
quicksort,js,medium,6,7.000000
quicksort,js,medium,7,7.200000
quicksort,js,medium,8,7.100000
quicksort,js,medium,9,6.900000
quicksort,js,medium,10,7.000000
quicksort,js,medium,11,7.100000
quicksort,js,medium,12,7.000000
quicksort,js,medium,13,7.100000
quicksort,js,medium,14,6.900000
quicksort,js,medium,15,6.900000
quicksort,js,medium,16,7.200000
quicksort,js,medium,17,7.000000
quicksort,js,medium,18,6.800000
quicksort,js,medium,19,7.200000
quicksort,js,medium,20,7.100000
quicksort,js,medium,21,7.100000
quicksort,js,medium,22,7.200000
quicksort,js,medium,23,7.000000
quicksort,js,medium,24,7.100000
quicksort,js,medium,25,7.200000
quicksort,js,medium,26,7.100000
quicksort,js,medium,27,7.000000
quicksort,js,medium,28,7.100000
quicksort,js,medium,29,7.100000
quicksort,js,medium,30,7.100000
quicksort,wasm,medium,1,8.100000
quicksort,wasm,medium,2,8.000000
quicksort,wasm,medium,3,8.100000
quicksort,wasm,medium,4,8.200000
quicksort,wasm,medium,5,8.300000
quicksort,wasm,medium,6,8.200000
quicksort,wasm,medium,7,8.300000
quicksort,wasm,medium,8,8.200000
quicksort,wasm,medium,9,8.400000
quicksort,wasm,medium,10,8.300000
quicksort,wasm,medium,11,8.300000
quicksort,wasm,medium,12,8.300000
quicksort,wasm,medium,13,8.300000
quicksort,wasm,medium,14,8.300000
quicksort,wasm,medium,15,8.200000
quicksort,wasm,medium,16,8.200000
quicksort,wasm,medium,17,8.200000
quicksort,wasm,medium,18,8.400000
quicksort,wasm,medium,19,8.200000
quicksort,wasm,medium,20,8.200000
quicksort,wasm,medium,21,8.100000
quicksort,wasm,medium,22,8.000000
quicksort,wasm,medium,23,8.100000
quicksort,wasm,medium,24,8.200000
quicksort,wasm,medium,25,8.200000
quicksort,wasm,medium,26,8.200000
quicksort,wasm,medium,27,8.200000
quicksort,wasm,medium,28,8.000000
quicksort,wasm,medium,29,8.200000
quicksort,wasm,medium,30,8.300000
mergesort,js,large,1,256.400000
mergesort,js,large,2,304.300000
mergesort,js,large,3,287.200000
mergesort,js,large,4,284.000000
mergesort,js,large,5,266.100000
mergesort,js,large,6,278.200000
mergesort,js,large,7,273.200000
mergesort,js,large,8,259.300000
mergesort,js,large,9,268.100000
mergesort,js,large,10,260.200000
mergesort,js,large,11,258.500000
mergesort,js,large,12,258.700000
mergesort,js,large,13,255.700000
mergesort,js,large,14,261.600000
mergesort,js,large,15,281.300000
mergesort,js,large,16,264.000000
mergesort,js,large,17,251.100000
mergesort,js,large,18,257.000000
mergesort,js,large,19,267.700000
mergesort,js,large,20,269.500000
mergesort,js,large,21,265.100000
mergesort,js,large,22,259.600000
mergesort,js,large,23,273.600000
mergesort,js,large,24,265.000000
mergesort,js,large,25,259.300000
mergesort,js,large,26,257.600000
mergesort,js,large,27,258.600000
mergesort,js,large,28,270.400000
mergesort,js,large,29,270.700000
mergesort,js,large,30,259.100000
mergesort,wasm,large,1,164.000000
mergesort,wasm,large,2,164.700000
mergesort,wasm,large,3,164.100000
mergesort,wasm,large,4,163.000000
mergesort,wasm,large,5,163.700000
mergesort,wasm,large,6,163.700000
mergesort,wasm,large,7,167.100000
mergesort,wasm,large,8,170.600000
mergesort,wasm,large,9,171.300000
mergesort,wasm,large,10,169.700000
mergesort,wasm,large,11,163.000000
mergesort,wasm,large,12,162.900000
mergesort,wasm,large,13,167.200000
mergesort,wasm,large,14,163.500000
mergesort,wasm,large,15,164.300000
mergesort,wasm,large,16,164.500000
mergesort,wasm,large,17,164.200000
mergesort,wasm,large,18,163.800000
mergesort,wasm,large,19,163.100000
mergesort,wasm,large,20,162.500000
mergesort,wasm,large,21,162.800000
mergesort,wasm,large,22,163.800000
mergesort,wasm,large,23,163.400000
mergesort,wasm,large,24,163.300000
mergesort,wasm,large,25,164.400000
mergesort,wasm,large,26,162.400000
mergesort,wasm,large,27,162.400000
mergesort,wasm,large,28,161.800000
mergesort,wasm,large,29,162.900000
mergesort,wasm,large,30,163.900000
quicksort,js,large,1,84.100000
quicksort,js,large,2,83.800000
quicksort,js,large,3,84.200000
quicksort,js,large,4,86.300000
quicksort,js,large,5,83.600000
quicksort,js,large,6,84.100000
quicksort,js,large,7,83.100000
quicksort,js,large,8,84.100000
quicksort,js,large,9,83.100000
quicksort,js,large,10,84.000000
quicksort,js,large,11,83.200000
quicksort,js,large,12,83.600000
quicksort,js,large,13,85.300000
quicksort,js,large,14,87.000000
quicksort,js,large,15,85.600000
quicksort,js,large,16,85.400000
quicksort,js,large,17,86.200000
quicksort,js,large,18,84.100000
quicksort,js,large,19,89.900000
quicksort,js,large,20,84.800000
quicksort,js,large,21,84.300000
quicksort,js,large,22,84.000000
quicksort,js,large,23,84.200000
quicksort,js,large,24,83.400000
quicksort,js,large,25,84.900000
quicksort,js,large,26,83.700000
quicksort,js,large,27,84.600000
quicksort,js,large,28,83.400000
quicksort,js,large,29,85.000000
quicksort,js,large,30,87.100000
quicksort,wasm,large,1,99.200000
quicksort,wasm,large,2,97.000000
quicksort,wasm,large,3,97.800000
quicksort,wasm,large,4,96.700000
quicksort,wasm,large,5,97.500000
quicksort,wasm,large,6,96.600000
quicksort,wasm,large,7,97.400000
quicksort,wasm,large,8,96.300000
quicksort,wasm,large,9,97.300000
quicksort,wasm,large,10,96.500000
quicksort,wasm,large,11,97.200000
quicksort,wasm,large,12,99.600000
quicksort,wasm,large,13,102.500000
quicksort,wasm,large,14,102.500000
quicksort,wasm,large,15,98.600000
quicksort,wasm,large,16,99.200000
quicksort,wasm,large,17,98.200000
quicksort,wasm,large,18,99.200000
quicksort,wasm,large,19,97.100000
quicksort,wasm,large,20,96.900000
quicksort,wasm,large,21,99.000000
quicksort,wasm,large,22,97.400000
quicksort,wasm,large,23,97.300000
quicksort,wasm,large,24,97.600000
quicksort,wasm,large,25,96.900000
quicksort,wasm,large,26,97.200000
quicksort,wasm,large,27,96.400000
quicksort,wasm,large,28,97.600000
quicksort,wasm,large,29,95.900000
quicksort,wasm,large,30,97.600000
mergesort,js,very_large,1,2922.000000
mergesort,js,very_large,2,2882.900000
mergesort,js,very_large,3,2945.500000
mergesort,js,very_large,4,3046.500000
mergesort,js,very_large,5,3004.600000
mergesort,js,very_large,6,2932.500000
mergesort,js,very_large,7,2927.300000
mergesort,js,very_large,8,3023.400000
mergesort,js,very_large,9,3062.400000
mergesort,js,very_large,10,2952.300000
mergesort,js,very_large,11,2987.700000
mergesort,js,very_large,12,2969.800000
mergesort,js,very_large,13,3000.500000
mergesort,js,very_large,14,3112.000000
mergesort,js,very_large,15,2991.200000
mergesort,js,very_large,16,2972.300000
mergesort,js,very_large,17,2980.400000
mergesort,js,very_large,18,2988.000000
mergesort,js,very_large,19,3100.600000
mergesort,js,very_large,20,3086.200000
mergesort,js,very_large,21,2950.600000
mergesort,js,very_large,22,2978.800000
mergesort,js,very_large,23,2996.200000
mergesort,js,very_large,24,2901.900000
mergesort,js,very_large,25,2930.600000
mergesort,js,very_large,26,2849.200000
mergesort,js,very_large,27,2989.400000
mergesort,js,very_large,28,2946.700000
mergesort,js,very_large,29,2872.300000
mergesort,js,very_large,30,2930.500000
mergesort,wasm,very_large,1,1768.800000
mergesort,wasm,very_large,2,1766.400000
mergesort,wasm,very_large,3,1767.900000
mergesort,wasm,very_large,4,1741.200000
mergesort,wasm,very_large,5,1720.800000
mergesort,wasm,very_large,6,1727.300000
mergesort,wasm,very_large,7,1722.700000
mergesort,wasm,very_large,8,1720.000000
mergesort,wasm,very_large,9,1729.600000
mergesort,wasm,very_large,10,1821.500000
mergesort,wasm,very_large,11,1747.300000
mergesort,wasm,very_large,12,1747.200000
mergesort,wasm,very_large,13,1743.300000
mergesort,wasm,very_large,14,1745.500000
mergesort,wasm,very_large,15,1755.800000
mergesort,wasm,very_large,16,1745.500000
mergesort,wasm,very_large,17,1739.800000
mergesort,wasm,very_large,18,1741.900000
mergesort,wasm,very_large,19,1749.900000
mergesort,wasm,very_large,20,1741.800000
mergesort,wasm,very_large,21,1737.500000
mergesort,wasm,very_large,22,1742.400000
mergesort,wasm,very_large,23,1737.800000
mergesort,wasm,very_large,24,1742.600000
mergesort,wasm,very_large,25,1755.200000
mergesort,wasm,very_large,26,1741.800000
mergesort,wasm,very_large,27,1758.900000
mergesort,wasm,very_large,28,1747.300000
mergesort,wasm,very_large,29,1732.600000
mergesort,wasm,very_large,30,1735.000000
quicksort,js,very_large,1,972.600000
quicksort,js,very_large,2,961.100000
quicksort,js,very_large,3,957.900000
quicksort,js,very_large,4,960.000000
quicksort,js,very_large,5,966.500000
quicksort,js,very_large,6,964.600000
quicksort,js,very_large,7,959.300000
quicksort,js,very_large,8,964.000000
quicksort,js,very_large,9,960.800000
quicksort,js,very_large,10,961.000000
quicksort,js,very_large,11,961.200000
quicksort,js,very_large,12,959.400000
quicksort,js,very_large,13,958.600000
quicksort,js,very_large,14,962.100000
quicksort,js,very_large,15,959.500000
quicksort,js,very_large,16,959.400000
quicksort,js,very_large,17,960.900000
quicksort,js,very_large,18,957.400000
quicksort,js,very_large,19,956.000000
quicksort,js,very_large,20,954.300000
quicksort,js,very_large,21,959.300000
quicksort,js,very_large,22,960.500000
quicksort,js,very_large,23,959.400000
quicksort,js,very_large,24,955.000000
quicksort,js,very_large,25,958.200000
quicksort,js,very_large,26,955.900000
quicksort,js,very_large,27,955.200000
quicksort,js,very_large,28,956.900000
quicksort,js,very_large,29,958.200000
quicksort,js,very_large,30,955.200000
quicksort,wasm,very_large,1,1113.600000
quicksort,wasm,very_large,2,1115.200000
quicksort,wasm,very_large,3,1120.600000
quicksort,wasm,very_large,4,1116.100000
quicksort,wasm,very_large,5,1162.700000
quicksort,wasm,very_large,6,1135.600000
quicksort,wasm,very_large,7,1116.500000
quicksort,wasm,very_large,8,1114.400000
quicksort,wasm,very_large,9,1113.700000
quicksort,wasm,very_large,10,1120.600000
quicksort,wasm,very_large,11,1123.200000
quicksort,wasm,very_large,12,1116.300000
quicksort,wasm,very_large,13,1111.900000
quicksort,wasm,very_large,14,1117.500000
quicksort,wasm,very_large,15,1116.400000
quicksort,wasm,very_large,16,1111.000000
quicksort,wasm,very_large,17,1108.200000
quicksort,wasm,very_large,18,1122.500000
quicksort,wasm,very_large,19,1119.800000
quicksort,wasm,very_large,20,1113.600000
quicksort,wasm,very_large,21,1112.500000
quicksort,wasm,very_large,22,1113.700000
quicksort,wasm,very_large,23,1112.200000
quicksort,wasm,very_large,24,1119.000000
quicksort,wasm,very_large,25,1116.600000
quicksort,wasm,very_large,26,1112.800000
quicksort,wasm,very_large,27,1110.600000
quicksort,wasm,very_large,28,1110.100000
quicksort,wasm,very_large,29,1107.400000
quicksort,wasm,very_large,30,1113.200000
bfs,js,small,1,0.000000
bfs,js,small,2,0.000000
bfs,js,small,3,0.000000
bfs,js,small,4,0.000000
bfs,js,small,5,0.000000
bfs,js,small,6,0.000000
bfs,js,small,7,0.000000
bfs,js,small,8,0.100000
bfs,js,small,9,0.000000
bfs,js,small,10,0.000000
bfs,js,small,11,0.000000
bfs,js,small,12,0.000000
bfs,js,small,13,0.000000
bfs,js,small,14,0.100000
bfs,js,small,15,0.000000
bfs,js,small,16,0.000000
bfs,js,small,17,0.000000
bfs,js,small,18,0.000000
bfs,js,small,19,0.000000
bfs,js,small,20,0.000000
bfs,js,small,21,0.000000
bfs,js,small,22,0.000000
bfs,js,small,23,0.100000
bfs,js,small,24,0.000000
bfs,js,small,25,0.000000
bfs,js,small,26,0.100000
bfs,js,small,27,0.000000
bfs,js,small,28,0.000000
bfs,js,small,29,0.000000
bfs,js,small,30,0.000000
bfs,wasm,small,1,0.000000
bfs,wasm,small,2,0.000000
bfs,wasm,small,3,0.100000
bfs,wasm,small,4,0.000000
bfs,wasm,small,5,0.000000
bfs,wasm,small,6,0.000000
bfs,wasm,small,7,0.000000
bfs,wasm,small,8,0.000000
bfs,wasm,small,9,0.000000
bfs,wasm,small,10,0.000000
bfs,wasm,small,11,0.000000
bfs,wasm,small,12,0.000000
bfs,wasm,small,13,0.000000
bfs,wasm,small,14,0.000000
bfs,wasm,small,15,0.100000
bfs,wasm,small,16,0.000000
bfs,wasm,small,17,0.000000
bfs,wasm,small,18,0.000000
bfs,wasm,small,19,0.000000
bfs,wasm,small,20,0.000000
bfs,wasm,small,21,0.000000
bfs,wasm,small,22,0.000000
bfs,wasm,small,23,0.000000
bfs,wasm,small,24,0.000000
bfs,wasm,small,25,0.000000
bfs,wasm,small,26,0.000000
bfs,wasm,small,27,0.000000
bfs,wasm,small,28,0.000000
bfs,wasm,small,29,0.100000
bfs,wasm,small,30,0.000000
bfs,js,medium,1,0.900000
bfs,js,medium,2,0.300000
bfs,js,medium,3,0.400000
bfs,js,medium,4,0.100000
bfs,js,medium,5,0.100000
bfs,js,medium,6,0.200000
bfs,js,medium,7,0.200000
bfs,js,medium,8,0.100000
bfs,js,medium,9,0.200000
bfs,js,medium,10,0.200000
bfs,js,medium,11,0.100000
bfs,js,medium,12,0.200000
bfs,js,medium,13,0.100000
bfs,js,medium,14,0.200000
bfs,js,medium,15,0.200000
bfs,js,medium,16,0.100000
bfs,js,medium,17,0.200000
bfs,js,medium,18,0.100000
bfs,js,medium,19,0.200000
bfs,js,medium,20,0.100000
bfs,js,medium,21,0.200000
bfs,js,medium,22,0.100000
bfs,js,medium,23,0.100000
bfs,js,medium,24,0.200000
bfs,js,medium,25,0.100000
bfs,js,medium,26,0.200000
bfs,js,medium,27,0.200000
bfs,js,medium,28,0.200000
bfs,js,medium,29,0.100000
bfs,js,medium,30,0.200000
bfs,wasm,medium,1,0.400000
bfs,wasm,medium,2,0.600000
bfs,wasm,medium,3,0.400000
bfs,wasm,medium,4,0.300000
bfs,wasm,medium,5,0.500000
bfs,wasm,medium,6,0.100000
bfs,wasm,medium,7,0.200000
bfs,wasm,medium,8,0.300000
bfs,wasm,medium,9,0.100000
bfs,wasm,medium,10,0.100000
bfs,wasm,medium,11,0.200000
bfs,wasm,medium,12,0.200000
bfs,wasm,medium,13,0.100000
bfs,wasm,medium,14,0.200000
bfs,wasm,medium,15,0.300000
bfs,wasm,medium,16,0.100000
bfs,wasm,medium,17,0.400000
bfs,wasm,medium,18,0.200000
bfs,wasm,medium,19,0.200000
bfs,wasm,medium,20,0.200000
bfs,wasm,medium,21,0.200000
bfs,wasm,medium,22,0.100000
bfs,wasm,medium,23,0.200000
bfs,wasm,medium,24,0.400000
bfs,wasm,medium,25,0.200000
bfs,wasm,medium,26,0.200000
bfs,wasm,medium,27,0.200000
bfs,wasm,medium,28,0.100000
bfs,wasm,medium,29,0.100000
bfs,wasm,medium,30,0.300000
bfs,js,large,1,1.700000
bfs,js,large,2,2.200000
bfs,js,large,3,1.800000
bfs,js,large,4,1.800000
bfs,js,large,5,1.800000
bfs,js,large,6,1.800000
bfs,js,large,7,2.600000
bfs,js,large,8,1.800000
bfs,js,large,9,1.800000
bfs,js,large,10,1.800000
bfs,js,large,11,1.800000
bfs,js,large,12,2.100000
bfs,js,large,13,2.100000
bfs,js,large,14,2.100000
bfs,js,large,15,2.200000
bfs,js,large,16,2.000000
bfs,js,large,17,2.200000
bfs,js,large,18,2.000000
bfs,js,large,19,2.100000
bfs,js,large,20,1.800000
bfs,js,large,21,1.800000
bfs,js,large,22,1.800000
bfs,js,large,23,1.800000
bfs,js,large,24,1.700000
bfs,js,large,25,1.700000
bfs,js,large,26,1.900000
bfs,js,large,27,1.800000
bfs,js,large,28,2.100000
bfs,js,large,29,1.800000
bfs,js,large,30,1.800000
bfs,wasm,large,1,2.500000
bfs,wasm,large,2,2.100000
bfs,wasm,large,3,2.000000
bfs,wasm,large,4,1.900000
bfs,wasm,large,5,2.000000
bfs,wasm,large,6,1.900000
bfs,wasm,large,7,1.900000
bfs,wasm,large,8,2.100000
bfs,wasm,large,9,2.100000
bfs,wasm,large,10,1.900000
bfs,wasm,large,11,1.900000
bfs,wasm,large,12,2.200000
bfs,wasm,large,13,2.000000
bfs,wasm,large,14,1.900000
bfs,wasm,large,15,1.900000
bfs,wasm,large,16,1.800000
bfs,wasm,large,17,2.000000
bfs,wasm,large,18,2.100000
bfs,wasm,large,19,1.900000
bfs,wasm,large,20,1.900000
bfs,wasm,large,21,2.200000
bfs,wasm,large,22,2.500000
bfs,wasm,large,23,2.600000
bfs,wasm,large,24,2.300000
bfs,wasm,large,25,1.900000
